NCTId,Smoking_habit,CUI
NCT02264990,Current Smoker,C3241966
NCT02264990,Former Smoker,C0337671
NCT00126581,NULL,
NCT01404260,NULL,
NCT01415011,NULL,
NCT00799240,NULL,
NCT02679443,Never-smoker,C0337672
NCT00585377,NULL,
NCT04718012,NULL,
NCT00818441,NULL,
NCT01204697,NULL,
NCT02013206,NULL,
NCT00567359,NULL,
NCT01130753,NULL,
NCT01023828,Wood Smoke and Tobacco Smoking,C0453996
NCT01061788,NULL,
NCT00588445,NULL,
NCT01079481,,
NCT00807573,,
NCT00806286,,
NCT00268970,,
NCT00317200,,
NCT00005646,,
NCT00062010,,
NCT01057342,,
NCT00062179,,
NCT00687817,,
NCT01011075,,
NCT00540514,,
NCT00970580,,
NCT00005059,,
NCT00453167,,
NCT00003281,,
NCT02733250,,
NCT01171170,,
NCT00753909,,
NCT00004055,,
NCT00062062,,
NCT00832819,,
NCT01310244,,
NCT00243867,,
NCT01814163,,
NCT00666692,,
NCT01024062,,
NCT02525653,,
NCT00654758,,
NCT01196234,,
NCT01160601,,
NCT00735696,,
NCT01763671,,
NCT02551432,,
NCT00005032,,
NCT00487669,,
NCT00003299,,
NCT00077246,,
NCT02730247,,
NCT00278148,,
NCT00004126,,
NCT00005849,,
NCT00583830,,
NCT01836679,,
NCT00661193,,
NCT00686322,,
NCT01199055,,
NCT00752115,,
NCT00918203,,
NCT01757288,,
NCT00016315,,
NCT00245154,,
NCT00097227,,
NCT00004924,,
NCT02106546,,
NCT00795340,,
NCT02503358,,
NCT02279732,,
NCT01285609,,
NCT00986674,,
NCT00723957,,
NCT00006229,,
NCT00866528,,
NCT01560104,,
NCT00088556,,
NCT00602797,,
NCT00094835,,
NCT00578149,,
NCT01702844,,
NCT01364012,,
NCT00533585,,
NCT02038647,,
NCT00481078,,
NCT01165216,,
NCT00680940,,
NCT02367794,,
NCT02250326,,
NCT00002519,,
NCT00017407,,
NCT00642759,,
NCT00025389,,
NCT02264990,FormerSmoker,C0337671
NCT02264990,Current Smoker,C3241966
NCT00152477,,
NCT00006929,,
NCT00093756,,
NCT00603538,,
NCT01236716,,
NCT00347412,,
NCT00073723,,
NCT04672928,,
NCT00991796,,
NCT00408460,,
NCT00343291,,
NCT01519804,,
NCT00708812,,
NCT00318136,,
NCT00002969,,
NCT00034541,,
NCT00276588,,
NCT00003387,,
NCT03169335,,
NCT00674102,,
NCT01317615,,
NCT00729612,,
NCT00553462,,
NCT00510445,,
NCT00002972,,
NCT00527735,,
NCT00280150,,
NCT01225302,,
NCT01649947,,
NCT02392507,,
NCT00006469,,
NCT01763645,,
NCT00193362,,
NCT02309177,,
NCT02328105,,
NCT00079287,,
NCT00003117,,
NCT01620190,,
NCT01493843,,
NCT00147537,,
NCT00287989,,
NCT00085501,,
NCT00178256,,
NCT00003317,,
NCT00023673,,
NCT00096226,,
NCT00050960,,
NCT00600821,,
NCT00653939,,
NCT00974584,,
NCT00368992,,
NCT01820754,,
NCT00226590,,
NCT01069328,,
NCT00387374,,
NCT01540045,,
NCT01234038,,
NCT01769391,,
NCT00716534,,
NCT00874107,,
NCT00457119,,
NCT00020007,,
NCT01048645,,
NCT03092986,,
NCT00861627,,
NCT00534027,,
NCT00034346,,
NCT00533949,,
NCT02027428,,
NCT03594747,,
NCT00088088,,
NCT00004160,,
NCT00001499,,
NCT00274443,,
NCT02172846,,
NCT02429843,,
NCT00948675,,
NCT03296163,,
NCT02367781,,
NCT00655850,,
NCT01494558,,
NCT00087802,,
NCT01023347,,
NCT00495170,,
NCT01100931,,
NCT00004979,,
NCT00021333,,
NCT02151149,,
NCT00004011,,
NCT00006378,,
NCT00003235,,
NCT00081302,,
NCT04640935,,
NCT00003587,,
NCT02366143,,
NCT03780010,,
NCT00006484,,
NCT01107626,,
NCT02716038,,
NCT03573947,,
NCT00913705,,
NCT01366131,,
NCT00434135,,
NCT00003158,,
NCT01454102,,
NCT00702975,,
NCT00144053,,
NCT00005065,,
NCT02684461,,
NCT00832494,,
NCT00006012,,
NCT00113516,,
NCT00071188,,
NCT00898417,,
NCT00003881,,
NCT02182232,,
NCT00556088,,
NCT01862081,,
NCT00032032,,
NCT03196986,,
NCT00280787,,
NCT01486602,,
NCT00003072,,
NCT00563784,,
NCT01496742,,
NCT02364999,,
NCT00800202,,
NCT00998192,,
NCT00003089,,
NCT00252798,,
NCT00034164,,
NCT00979212,,
NCT00003812,,
NCT00033696,,
NCT02944396,,
NCT01085136,,
NCT00480831,,
NCT00874848,,
NCT00005806,,
NCT00043108,,
NCT02303977,,
NCT00004137,,
NCT01326767,,
NCT03095209,,
NCT01051934,,
NCT02754882,,
NCT00126581,FormerSmoker,C0337671
NCT00126581,Never Smoker,C0337672
NCT00126581,Light FormerSmoker,C3494627
NCT00900172,,
NCT02567799,,
NCT00049790,,
NCT00006004,,
NCT02220894,,
NCT03850444,,
NCT03099577,,
NCT00033410,,
NCT00762034,,
NCT00193310,,
NCT00040794,,
NCT00476216,,
NCT00033553,,
NCT00004202,,
NCT00259675,,
NCT00001450,,
NCT01966003,,
NCT01134250,,
NCT02810457,,
NCT02591615,,
NCT00002852,,
NCT00035152,,
NCT00085839,,
NCT02073968,,
NCT00003313,,
NCT02289456,,
NCT00025480,,
NCT00915005,,
NCT03366480,,
NCT01668108,,
NCT00564733,,
NCT00617409,,
NCT00021060,,
NCT00322452,,
NCT02470468,,
NCT02728492,,
NCT02069158,,
NCT00966914,,
NCT00074854,,
NCT01840579,,
NCT00828841,,
NCT02799862,,
NCT00828009,,
NCT00091039,,
NCT00550537,,
NCT00107250,,
NCT00174356,,
NCT00191256,,
NCT03128008,,
NCT00047736,,
NCT00756847,,
NCT03329911,,
NCT01850303,,
NCT00094861,,
NCT00003589,,
NCT00315185,,
NCT00070629,,
NCT01770795,,
NCT00738452,,
NCT05169801,,
NCT00112294,,
NCT00298415,,
NCT02720614,,
NCT02066103,,
NCT00199758,,
NCT00003569,,
NCT01099124,,
NCT00005838,,
NCT02041533,,
NCT00249964,,
NCT00508625,,
NCT00492206,,
NCT02492867,,
NCT00198367,,
NCT02039674,,
NCT00198354,,
NCT03840915,,
NCT00003943,,
NCT00028938,,
NCT03351361,,
NCT01066234,,
NCT01783197,,
NCT02142738,,
NCT01868022,,
NCT02193633,,
NCT01831089,,
NCT00117442,,
NCT01404260,NonSmoker,C0337672
NCT01404260,Former_Light_Smokers,C3494627
NCT00686959,,
NCT02273713,,
NCT00271505,,
NCT03322566,,
NCT00294762,,
NCT04144608,,
NCT00700180,,
NCT00770588,,
NCT01836575,,
NCT01892046,,
NCT00667641,,
NCT00546156,,
NCT04633564,,
NCT01209520,,
NCT03345810,,
NCT02064491,,
NCT02426281,,
NCT00313599,,
NCT00078390,,
NCT00101920,,
NCT00667147,,
NCT00019019,,
NCT01263886,,
NCT03432598,,
NCT02659059,,
NCT00216125,,
NCT00078845,,
NCT01243775,,
NCT05427305,,
NCT01026467,,
NCT00003111,,
NCT00466466,,
NCT02574078,,
NCT01216111,,
NCT02489903,,
NCT03986463,,
NCT00028535,,
NCT00531960,,
NCT02033551,,
NCT00003159,,
NCT02071862,,
NCT01957007,,
NCT00820755,,
NCT02881125,,
NCT00312728,,
NCT02805530,,
NCT04237090,,
NCT00309959,,
NCT02716311,,
NCT01999985,,
NCT02629523,,
NCT02440854,,
NCT02747953,,
NCT02364609,,
NCT04640870,,
NCT01415011,NonSmoker,C0337672
NCT01156545,,
NCT01647711,,
NCT02208843,,
NCT01953913,,
NCT04552535,,
NCT02191891,,
NCT02044380,,
NCT02625168,,
NCT01090011,,
NCT01523587,,
NCT00796549,,
NCT00711594,,
NCT00993499,,
NCT00656136,,
NCT04179890,,
NCT04750824,,
NCT02145637,,
NCT03370770,,
NCT03157089,,
NCT01074177,,
NCT01121393,,
NCT00525148,,
NCT01466660,,
NCT02514174,,
NCT02285361,,
NCT01880515,,
NCT02047903,,
NCT02131259,,
NCT02795156,,
NCT02369484,,
NCT02020577,,
NCT02506517,,
NCT01783587,,
NCT01169675,,
NCT05204758,,
NCT00949650,,
NCT04201756,,
NCT04031898,,
NCT02975752,,
NCT02847377,,
NCT01871805,,
NCT03271554,,
NCT01801111,,
NCT02604342,,
NCT02013219,,
NCT03155009,,
NCT03779191,,
NCT02450903,,
NCT04351334,,
NCT04979988,,
NCT04997382,,
NCT04647110,,
NCT00891579,,
NCT00111839,,
NCT00216203,,
NCT00528281,,
NCT00370292,,
NCT03366064,,
NCT02426658,,
NCT00227565,,
NCT01700400,,
NCT00234052,,
NCT00268489,,
NCT00434174,,
NCT00226577,,
NCT00744900,,
NCT00022646,,
NCT00095199,,
NCT00191191,,
NCT00372788,,
NCT00529100,,
NCT01126736,,
NCT00741221,,
NCT00871403,,
NCT00350792,,
NCT00982111,,
NCT00301808,,
NCT00387322,,
NCT01837329,,
NCT00942825,,
NCT00191308,,
NCT01000480,,
NCT00530621,,
NCT00660816,,
NCT00454194,,
NCT00407550,,
NCT00117962,,
NCT00614822,,
NCT00988858,,
NCT00906282,,
NCT00497315,,
NCT00410904,,
NCT00191750,,
NCT01784640,,
NCT02259582,,
NCT00440414,,
NCT00363415,,
NCT01723800,,
NCT01189968,,
NCT00380718,,
NCT00550173,NonSmoker,C0337672
NCT00482014,,
NCT01020786,,
NCT00508144,,
NCT00976456,,
NCT00269152,,
NCT00798603,,
NCT00698815,,
NCT01473563,,
NCT01139775,,
NCT00248495,,
NCT02185690,,
NCT00745875,,
NCT00497770,,
NCT00606021,,
NCT01442909,,
NCT03366766,,
NCT00799240,NonSmoker,C0337672
NCT00517595,,
NCT02657434,,
NCT00749346,,
NCT00771953,,
NCT00193414,,
NCT01232452,,
NCT00789373,,
NCT00391274,,
NCT01116219,,
NCT00533429,,
NCT00520676,,
NCT00061451,,
NCT00078260,,
NCT00102804,,
NCT00297089,,
NCT00389805,,
NCT01323062,,
NCT01204307,,
NCT01165021,,
NCT00867009,,
NCT01705184,,
NCT00409006,NonSmoker,C0337672
NCT00961415,,
NCT01344824,NonSmoker,C0337672
NCT00932893,,
NCT00308750,,
NCT00950365,,
NCT02409342,,
NCT00609518,,
NCT01042288,,
NCT00898820,,
NCT02578680,,
NCT00343720,,
NCT03950674,,
NCT00418886,,
NCT01783834,,
NCT00316225,,
NCT04012619,,
NCT01664754,,
NCT01017874,NonSmoker,C0337672
NCT01639001,,
NCT00330044,,
NCT00087711,,
NCT00402051,,
NCT00506051,,
NCT03256136,,
NCT00071136,,
NCT02309892,,
NCT03101579,,
NCT01005680,,
NCT01531790,,
NCT01004601,,
NCT01194453,,
NCT01829113,,
NCT00887549,,
NCT03526900,,
NCT00768755,,
NCT01631136,,
NCT00940069,,
NCT01193959,,
NCT00349089,,
NCT00994097,,
NCT02337530,,
NCT00684099,,
NCT00227019,,
NCT01666977,,
NCT02535325,,
NCT00190840,,
NCT01469000,,
NCT00227539,,
NCT00456261,,
NCT00540241,,
NCT00892710,,
NCT00408226,,
NCT01664533,,
NCT00061464,,
NCT00489983,,
NCT04843007,,
NCT03655834,,
NCT00051493,,
NCT00103831,,
NCT02182102,,
NCT01154140,,
NCT00614965,,
NCT01565538,,
NCT01185847,,
NCT02211833,,
NCT03607149,,
NCT01336842,,
NCT03664024,,
NCT03663205,,
NCT01588704,,
NCT01443078,,
NCT03472053,,
NCT00556322,,
NCT01296113,,
NCT02964689,,
NCT01263782,,
NCT00447057,,
NCT01708993,,
NCT00251524,,
NCT01160744,,
NCT01102231,,
NCT02639091,,
NCT00284778,,
NCT01544179,,
NCT01781988,,
NCT00095225,,
NCT01395758,,
NCT01004250,,
NCT00051506,,
NCT03607539,,
NCT00835471,,
NCT04507217,,
NCT02439450,,
NCT03537833,,
NCT02603003,,
NCT01958372,,
NCT02900742,,
NCT01059552,,
NCT00577707,,
NCT03380871,,
NCT03513666,,
NCT00703976,,
NCT00743379,,
NCT00619424,,
NCT03134872,,
NCT02864251,,
NCT01351415,,
NCT01257139,,
NCT02679443,,
NCT00034606,,
NCT00824408,,
NCT01063283,,
NCT00560573,,
NCT01769066,,
NCT05908799,,
NCT00806819,,
NCT01809210,,
NCT02498860,,
NCT04452214,,
NCT01454934,,
NCT02347917,,
NCT03544814,,
NCT00528619,,
NCT02049060,,
NCT01982955,,
NCT03083808,,
NCT02129699,,
NCT02120807,,
NCT00315861,,
NCT02723578,,
NCT01590160,,
NCT03507244,,
NCT02079636,,
NCT01172028,,
NCT00916630,,
NCT01719536,,
NCT01490437,,
NCT02148380,,
NCT01003964,,
NCT01655225,,
NCT03562871,,
NCT00860015,,
NCT00775385,,
NCT01067794,,
NCT03353675,,
NCT02045446,,
NCT03304093,,
NCT00703638,,
NCT02980991,,
NCT01951586,,
NCT00005636,,
NCT02308020,,
NCT03922997,,
NCT02848651,,
NCT02008227,,
NCT02031458,,
NCT01903993,,
NCT04636762,,
NCT03014648,,
NCT03559647,,
NCT01846416,,
NCT02994576,,
NCT03801304,,
NCT02763579,,
NCT03438318,,
NCT05055999,,
NCT05055908,,
NCT05055947,,
NCT04028050,,
NCT03023423,,
NCT02463994,,
NCT04059887,,
NCT03645330,,
NCT04426825,,
NCT03059667,,
NCT03285763,,
NCT04920981,,
NCT02813785,,
NCT06049966,,
NCT03321695,,
NCT03790397,,
NCT03911219,,
NCT02825940,,
NCT02666105,,
NCT02174172,,
NCT03526887,,
NCT03232593,,
NCT03926260,,
NCT03035890,,
NCT02523469,,
NCT02876510,,
NCT02403271,,
NCT02054052,,
NCT00217282,,
NCT00698516,,
NCT00193375,,
NCT02803203,,
NCT00930891,,
NCT00741195,,
NCT00755170,,
NCT00403403,,
NCT00356122,,
NCT00541099,,
NCT00451906,,
NCT00675597,,
NCT00323869,,
NCT00970684,,
NCT01562028,,
NCT00425646,,
NCT00309998,,
NCT00118235,,
NCT00387699,,
NCT00365547,,
NCT00367601,,
NCT00445848,NonSmoker,C0337672
NCT00079040,,
NCT00130780,,
NCT04345146,,
NCT01661790,,
NCT00354549,,
NCT02959749,,
NCT02596958,,
NCT00130728,,
NCT00661778,,
NCT00553800,,
NCT00741988,,
NCT01934465,,
NCT01047059,,
NCT00308529,,
NCT00633529,,
NCT01262820,,
NCT00773188,,
NCT00257608,,
NCT02316327,,
NCT03170284,,
NCT01995188,,
NCT00250978,,
NCT01532089,,
NCT04257864,,
NCT00294931,,
NCT01077713,,
NCT01137968,,
NCT00621049,,
NCT01333007,,
NCT00436332,,
NCT00585377,NonSmoker,C0337672
NCT00400803,,
NCT00620971,,
NCT00101348,,
NCT01358942,,
NCT00776698,,
NCT00708448,,
NCT01368848,,
NCT01893268,,
NCT01963351,,
NCT00806923,,
NCT01343914,,
NCT00536640,,
NCT02745691,,
NCT01598597,,
NCT02835833,,
NCT00388206,,
NCT00043823,,
NCT01827852,,
NCT05110118,,
NCT00734890,,
NCT00588666,,
NCT00923936,,
NCT03959137,,
NCT00973557,,
NCT01931098,,
NCT03321513,,
NCT05476341,,
NCT02272413,,
NCT01588184,,
NCT00027703,,
NCT02737501,,
NCT02094573,,
NCT03410108,,
NCT04718012,NonSmoker,C0337672
NCT04887519,,
NCT03420742,,
NCT01449461,,
NCT00469898,,
NCT01004731,,
NCT00883675,,
NCT00280735,,
NCT00387660,,
NCT01331525,,
NCT00061919,,
NCT02499770,,
NCT01082549,,
NCT00683904,,
NCT00074204,,
NCT00737867,,
NCT00104793,,
NCT00874419,,
NCT00881296,,
NCT00326599,,
NCT00912392,,
NCT00004096,,
NCT00430651,,
NCT00042978,,
NCT01076504,,
NCT00097214,,
NCT00072527,,
NCT00449020,,
NCT02289690,,
NCT00927875,,
NCT00075751,,
NCT00695292,,
NCT00316186,,
NCT00004201,,
NCT04902885,,
NCT00682981,,
NCT00856830,,
NCT00041054,,
NCT00240097,,
NCT00247416,,
NCT01987232,,
NCT00647426,,
NCT01466647,,
NCT03066778,,
NCT00433498,,
NCT01683682,,
NCT00190710,,
NCT00305942,,
NCT01652820,,
NCT00070486,,
NCT00017251,,
NCT00826852,,
NCT00042679,,
NCT00717938,,
NCT00599755,,
NCT00041314,,
NCT00094822,,
NCT00321334,,
NCT01439568,,
NCT00025272,,
NCT00687297,,
NCT00028925,,
NCT00463515,,
NCT00052338,,
NCT00453154,,
NCT00251498,,
NCT00025285,,
NCT00193349,,
