NCTId,Smoking_habit,CUI
NCT00516022,,
NCT00423449,,
NCT00870870,,
NCT05026593,,
NCT01266512,,
NCT01450761,,
NCT00258739,,
NCT00212043,,
NCT00132665,,
NCT00002822,,
NCT00887783,,
NCT00791154,,
NCT00883779,,
NCT00193427,,
NCT00264498,,
NCT00153803,,
NCT00499109,,
NCT01648517,,
NCT00600587,,
NCT00446225,,
NCT00004186,,
NCT00401609,,
NCT00215930,,
NCT04449861,,
NCT00138658,,
NCT00049218,,
NCT00191230,,
NCT00413283,,
NCT00002623,,
NCT00695994,,
NCT04712903,,
NCT04870112,,
NCT00086268,,
NCT02175381,,
NCT01998919,,
NCT00759824,,
NCT00606502,,
NCT00068289,,
NCT03717155,,
NCT00003860,,
NCT02945852,,
NCT02292550,,
NCT02299505,,
NCT01772797,,
NCT01685138,,
NCT02040870,,
NCT02276027,,
NCT01685060,,
NCT02336451,,
NCT02422589,,
NCT02605746,,
NCT01712217,,
NCT01300429,,
NCT01579994,,
NCT03088930,,
NCT00965731,,
NCT00932451,,
NCT01121575,,
NCT01998126,,
NCT01970865,,
NCT02183870,,
NCT01945021,,
NCT02679170,,
NCT03718117,,
NCT01597258,,
NCT05014464,,
NCT02727335,,
NCT02372448,,
NCT05792644,,
NCT01744652,,
NCT00585195,,
NCT01752400,,
NCT02718651,,
NCT02042105,,
NCT01703091,,
NCT02789345,,
NCT01168973,,
NCT02443324,,
NCT02572687,,
NCT05800418,,
NCT02082210,,
NCT04775095,,
NCT01336634,,
NCT03755102,,
NCT04511533,,
NCT01858389,,
NCT01360554,,
NCT00769067,,
NCT01774721,,
NCT01000025,,
NCT01465802,,
NCT00553254,,
NCT00548093,,
NCT00818441,NonSmoker,C0337672
NCT00818441,Former_Light_Smokers,C3494627
NCT00728390,,
NCT01608022,,
NCT00030407,,
NCT00260026,,
NCT00103389,,
NCT00075374,,
NCT03798743,,
NCT00030420,,
NCT01362400,,
NCT02658747,,
NCT00582634,,
NCT00995761,,
NCT01824901,,
NCT00003900,,
NCT01107444,,
NCT03394105,,
NCT00064012,,
NCT00193453,,
NCT03095612,,
NCT00003762,,
NCT02358473,,
NCT00532155,,
NCT02364362,,
NCT00231465,,
NCT00405951,,
NCT01138163,,
NCT01905657,,
NCT00278460,,
NCT00312377,,
NCT01642004,,
NCT00544960,,
NCT00222144,,
NCT00114192,,
NCT01350817,,
NCT02531737,,
NCT00201825,,
NCT00005868,,
NCT00281970,,
NCT00004139,,
NCT01362296,,
NCT00132639,,
NCT00390429,,
NCT00227708,,
NCT00173888,,
NCT02283320,,
NCT00080080,,
NCT00062439,,
NCT00148291,,
NCT01750281,,
NCT00434668,,
NCT00193245,,
NCT01951157,,
NCT00293085,,
NCT00441922,,
NCT01083589,,
NCT00026156,,
NCT00193323,,
NCT00840125,,
NCT02450539,,
NCT00630110,,
NCT00362882,,
NCT00310154,,
NCT00065182,,
NCT00425191,,
NCT00040885,,
NCT00074022,,
NCT04144582,,
NCT01671332,,
NCT00073385,,
NCT00066768,,
NCT00076388,,
NCT01999673,,
NCT00876460,,
NCT03371550,,
NCT02864394,,
NCT02574598,,
NCT00931008,,
NCT00441740,,
NCT00191139,,
NCT01673867,,
NCT02395172,,
NCT01652469,,
NCT01577654,,
NCT00118183,,
NCT00077311,,
NCT02179671,,
NCT00102505,,
NCT02300298,,
NCT00418704,,
NCT03449901,,
NCT00819728,,
NCT01605916,,
NCT03647488,,
NCT01207011,,
NCT00003037,,
NCT00139711,,
NCT00771563,,
NCT00050674,,
NCT00132379,,
NCT00327288,,
NCT00073866,,
NCT00047801,,
NCT01222312,,
NCT00890825,,
NCT00097851,,
NCT02504489,,
NCT00051974,,
NCT01059188,,
NCT00059943,,
NCT00712504,,
NCT00805194,,
NCT00085826,,
NCT01204697,FormerSmoker,C0337671
NCT00326378,,
NCT01792479,,
NCT00066885,,
NCT03150875,,
NCT01557959,,
NCT00049998,,
NCT00174772,,
NCT00167401,,
NCT00252707,,
NCT00086333,,
NCT02965378,,
NCT02785939,,
NCT00174629,,
NCT00319514,,
NCT00424853,,
NCT00191490,,
NCT00256789,,
NCT02364804,,
NCT00478049,,
NCT01038661,,
NCT02577341,,
NCT00945451,,
NCT02766335,,
NCT01497925,,
NCT00051571,,
NCT00047840,,
NCT00673738,,
NCT00963807,,
NCT00020709,,
NCT00850785,,
NCT00622349,,
NCT02972216,,
NCT00003231,,
NCT03547804,,
NCT00062270,,
NCT00406302,,
NCT00072618,,
NCT01240447,,
NCT00432315,,
NCT00478699,,
NCT01204099,,
NCT03017885,,
NCT02088515,,
NCT00030810,,
NCT00682383,,
NCT00295672,,
NCT00985855,,
NCT05553808,,
NCT00069160,,
NCT00883480,,
NCT01561456,,
NCT02573506,,
NCT00003565,,
NCT01614002,,
NCT00002901,,
NCT01015963,,
NCT03900117,,
NCT02740985,,
NCT00092001,,
NCT00880334,,
NCT00183794,,
NCT00067548,,
NCT00183872,,
NCT00533533,,
NCT00183742,,
NCT00257348,,
NCT01780181,,
NCT04345900,,
NCT03102606,,
NCT05137067,,
NCT00471432,,
NCT02154490,,
NCT00509457,,
NCT01852578,,
NCT00120939,,
NCT00014456,,
NCT00080041,,
NCT03659578,,
NCT00049296,,
NCT03358563,,
NCT04713462,,
NCT00003103,,
NCT00096707,,
NCT02671422,,
NCT02595450,,
NCT01101334,,
NCT00462995,,
NCT00547105,,
NCT00416650,,
NCT00275132,,
NCT01967095,,
NCT00370383,,
NCT01211483,,
NCT00702182,,
NCT00854308,,
NCT00590902,,
NCT00826449,,
NCT00408499,,
NCT00283244,,
NCT00391248,,
NCT00137800,,
NCT01667562,,
NCT00100854,,
NCT02424617,,
NCT01487265,,
NCT01911507,,
NCT00855894,,
NCT00072631,,
NCT01230710,,
NCT01027598,,
NCT00453362,,
NCT01342965,,
NCT01260181,,
NCT00602433,,
NCT00777309,,
NCT00085280,,
NCT02013206,FormerSmoker,C0337671
NCT01287754,,
NCT00452413,,
NCT01069757,,
NCT00536861,,
NCT00871923,,
NCT01456325,,
NCT01836133,,
NCT01866410,,
NCT00411632,,
NCT00585533,,
NCT01302808,,
NCT00701558,,
NCT00997334,,
NCT00609804,,
NCT01104155,,
NCT00816868,,
NCT00778167,,
NCT00125372,,
NCT00088959,FormerSmoker,C0337671
NCT00600015,,
NCT01199068,,
NCT00373425,,
NCT00062101,,
NCT01378962,,
NCT00949910,,
NCT00072072,,
NCT00349219,,
NCT00673569,,
NCT00596648,,
NCT01839955,,
NCT01545947,,
NCT00581789,,
NCT00444015,,
NCT01378598,,
NCT01068587,,
NCT00125359,,
NCT01887886,,
NCT02133508,,
NCT01229150,,
NCT00518011,,
NCT01196078,,
NCT00265317,,
NCT01522833,,
NCT01161173,,
NCT00364351,,
NCT00888511,,
NCT00419042,,
NCT00091663,,
NCT02031744,,
NCT00200395,,
NCT01328951,,
NCT01250119,,
NCT00499655,,
NCT00983307,,
NCT02507375,,
NCT00994123,,
NCT01310036,,
NCT01294306,,
NCT00087412,,
NCT01859026,,
NCT01153984,,
NCT00567359,NonSmoker,C0337672
NCT00456833,,
NCT01123460,,
NCT00652340,,
NCT01221077,,
NCT00654420,,
NCT00321815,,
NCT00473083,,
NCT01183858,CurrentSmoker,C3241966
NCT01251796,,
NCT00531934,,
NCT00570401,,
NCT00457392,,
NCT00410059,,
NCT01259089,,
NCT01996332,,
NCT00036647,,
NCT00230126,,
NCT01130753,NonSmoker,C0337672
NCT01580735,,
NCT00569114,,
NCT00717847,,
NCT01372384,,
NCT00300586,,
NCT00294736,CurrentSmoker,C3241966
NCT00305617,,
NCT01174563,,
NCT01194050,,
NCT02000531,,
NCT01535729,,
NCT00385996,,
NCT02774278,,
NCT01488331,,
NCT00556712,,
NCT00615758,,
NCT01233687,,
NCT01723878,,
NCT00897533,,
NCT00729742,,
NCT01721252,,
NCT01951755,,
NCT01659970,,
NCT01066884,,
NCT00063895,,
NCT01167244,,
NCT00777699,,
NCT02155465,,
NCT01887795,,
NCT02450591,,
NCT01024413,,
NCT01594398,,
NCT00397384,,
NCT00779389,,
NCT01556191,,
NCT01248247,,
NCT01790217,,
NCT02942095,,
NCT00718315,,
NCT00602030,,
NCT01900652,,
NCT00642473,,
NCT01609543,,
NCT00975182,,
NCT00692640,,
NCT00732810,,
NCT01573702,,
NCT01512420,,
NCT00522145,,
NCT00966472,,
NCT00137839,,
NCT00738751,,
NCT01416688,,
NCT00716456,,
NCT01402089,,
NCT01217619,,
NCT00743938,,
NCT01523340,,
NCT01593995,,
NCT03653546,,
NCT01186861,,
NCT03595644,,
NCT00284141,,
NCT04145570,,
NCT00266877,,
NCT01610336,,
NCT01023828,,
NCT02157883,,
NCT00977548,,
NCT03076164,,
NCT00579683,,
NCT00910676,,
NCT02759835,,
NCT00955149,,
NCT01570296,,
NCT01514877,,
NCT00124280,,
NCT05934461,,
NCT01287546,,
NCT00030498,,
NCT02043002,,
NCT02889692,,
NCT02293733,,
NCT01854034,,
NCT00039182,,
NCT00739453,,
NCT02040064,,
NCT00374140,,
NCT00096486,,
NCT01427946,,
NCT01563354,,
NCT00933777,,
NCT00955773,,
NCT00401778,,
NCT01470209,,
NCT01061788,NonSmoker,C0337672
NCT02890069,,
NCT01349296,,
NCT00655655,,
NCT01978171,,
NCT00770120,,
NCT01524783,,
NCT05255133,,
NCT01324492,,
NCT01024946,,
NCT00372515,,
NCT00173875,,
NCT02804776,,
NCT00452244,,
NCT00411047,,
NCT00068653,,
NCT01513174,,
NCT01037998,,
NCT00217698,,
NCT00068497,,
NCT03157310,,
NCT00193336,,
NCT01498562,,
NCT00328562,,
NCT00255489,,
NCT00188617,,
NCT00162318,,
NCT00049543,,
NCT00103051,,
NCT01130961,,
NCT00298688,,
NCT00144066,,
NCT01039948,,
NCT00080340,,
NCT00238251,,
NCT02976116,,
NCT02088112,,
NCT00029003,,
NCT01040780,,
NCT01530334,,
NCT00824746,,
NCT00238628,,
NCT02374645,,
NCT00588445,NonSmoker,C0337672
NCT02025114,,
NCT00034879,,
NCT00357734,,
NCT00256711,,
NCT01017679,,
NCT01818947,,
NCT02740894,,
NCT01864681,,
NCT01203917,,
NCT00333294,,
NCT00807066,,
NCT01000740,,
NCT00455936,NonSmoker,C0337672
NCT01448187,,
NCT01933347,,
NCT01833572,,
NCT00344773,,
NCT00608868,,
NCT00259064,,
NCT01103089,,
NCT00252759,,
NCT00059722,,
NCT00820417,,
NCT00198380,,
NCT00898924,,
NCT00025207,,
NCT02475720,,
NCT00016367,,
NCT00191763,,
NCT01797913,,
NCT00003202,,
NCT00192036,,
NCT00154739,,
NCT01844791,,
NCT01788566,,
NCT00064064,,
NCT00077350,,
NCT00055757,,
NCT00005093,,
NCT00112346,,
NCT00077415,,
NCT00753714,,
NCT01086254,,
NCT01633645,,
NCT00449033,,
NCT01763788,,
NCT00005972,,
NCT00330746,,
NCT00191620,,
NCT00489996,,
NCT00305786,,
NCT00057798,,
NCT00182806,,
NCT00735904,,
NCT00401492,,
NCT00496275,,
NCT00069875,,
NCT00191126,,
NCT00004199,,
NCT00792701,,
NCT00283478,,
NCT00030433,,
NCT01810367,,
NCT00034268,,
NCT00490659,,
NCT01631357,,
NCT00385606,,
NCT00005850,,
NCT00193921,,
NCT00678977,,
NCT00191841,,
NCT00842712,,
NCT03629925,,
NCT00271271,,
NCT02449122,,
NCT01243632,,
NCT00003744,,
NCT00004095,,
NCT00620295,,
NCT01324258,,
NCT00733850,,
NCT00350961,,
NCT00415818,,
NCT00522886,,
NCT00019513,,
NCT04487457,,
NCT00148395,,
NCT00343408,,
NCT01606748,,
NCT02991482,,
NCT00003723,,
NCT00017186,,
NCT01352962,,
NCT02797977,,
NCT02240238,,
NCT03102320,,
NCT01325558,,
NCT01737502,,
NCT00068549,,
NCT03693300,,
NCT05933044,,
NCT04667312,,
NCT03373760,,
NCT02898116,,
NCT03818776,,
NCT02879617,,
NCT03853187,,
NCT02701400,,
NCT02904954,,
NCT03794544,,
NCT02000947,,
NCT03085849,,
NCT04285866,,
NCT03164772,,
NCT02454933,,
NCT04884269,,
NCT04854590,,
NCT03095274,,
NCT03643484,,
NCT03094286,,
NCT03732664,,
NCT05792995,,
NCT04545658,,
NCT02318277,,
NCT02658214,,
NCT02586987,,
NCT01693562,,
NCT03217071,,
NCT05226728,,
NCT03322540,,
NCT02007070,,
NCT02835690,,
NCT02879994,,
NCT02879760,,
NCT02575404,,
NCT03371979,,
NCT03197467,,
NCT02840994,,
NCT02760225,,
NCT02451930,,
NCT03302234,,
NCT02359019,,
NCT03307759,,
NCT02437136,,
NCT02448303,,
NCT02085070,,
NCT01295827,,
NCT02492568,,
NCT05023837,,
NCT02475213,,
NCT05740501,,
NCT03308942,,
NCT02343952,,
NCT03224871,,
NCT04793815,,
NCT03473925,,
NCT04076228,,
NCT02501096,,
NCT02646748,,
NCT02563548,,
NCT02043665,,
NCT03948763,,
NCT02713529,,
NCT05321212,,
NCT03825510,,
NCT03006887,,
NCT03184571,,
NCT04879316,,
NCT02939651,,
NCT02509507,,
NCT03426891,,
NCT03775850,,
NCT02938624,,
NCT02122861,,
NCT03849469,,
NCT05059951,,
NCT03329950,,
NCT05711914,,
NCT03229278,,
NCT04383938,,
NCT04037462,,
NCT03861793,,
NCT02909452,,
NCT03633110,,
NCT05129462,,
NCT03140137,,
NCT02528357,,
NCT02178722,,
NCT02903914,,
NCT04148937,,
NCT03085914,,
NCT04541706,,
NCT05167500,,
NCT03727477,,
NCT04541407,,
NCT03704688,,
NCT02900664,,
NCT01938443,,
NCT03520842,,
NCT05796726,,
NCT05154344,,
NCT02385110,,
NCT01183065,,
NCT00215046,,
NCT03839537,,
NCT02648724,,
NCT00051311,,
NCT01188798,,
NCT00003553,,
NCT00354393,,
NCT01056614,,
NCT01951885,,
NCT00003838,,
NCT02345850,,
NCT00343785,,
NCT03699631,,
NCT00001256,,
NCT00445744,,
NCT00860574,,
NCT00448201,,
NCT01664910,,
NCT03652857,,
NCT02709720,,
NCT00008333,,
NCT00165334,,
NCT00870532,,
NCT00002583,,
NCT00005865,,
NCT00287963,,
NCT00017459,,
NCT03117335,,
NCT02176369,,
NCT01124253,,
NCT01109524,,
NCT00148798,,
NCT00253591,,
NCT00309972,,
NCT01839032,,
NCT02619929,,
NCT00683514,,
NCT02497118,,
NCT00890903,,
NCT02555007,,
NCT01029678,,
NCT01118676,,
NCT01684111,,
NCT00540982,,
NCT00014430,,
NCT01687439,,
NCT01848613,,
NCT00050973,,
NCT00278070,,
NCT00312819,,
NCT02139904,,
NCT00256815,,
NCT00432562,,
NCT00001944,,
NCT00002823,,
NCT01155258,,
NCT01441752,,
NCT02411591,,
NCT03433534,,
NCT03382496,,
NCT02538666,,
NCT03325816,,
NCT03090737,,
NCT03195491,,
NCT01721759,,
NCT03001882,,
NCT02409368,,
NCT02713867,,
NCT03132493,,
NCT03273790,,
NCT02823990,,
NCT02869789,,
NCT02066636,,
NCT02481830,,
NCT03215810,,
NCT02434081,,
NCT03262779,,
NCT03804554,,
NCT02423343,,
NCT04858204,,
NCT03123783,,
NCT02897765,,
NCT02954991,,
NCT03468985,,
NCT03486119,,
NCT02350764,,
NCT01928576,,
NCT02933346,,
NCT02247349,,
NCT04749602,,
NCT02939300,,
NCT03444766,,
NCT03181308,,
NCT03326752,,
NCT00441337,,
NCT04507906,,
NCT04082988,,
NCT03190174,,
NCT03639714,,
NCT04470440,,
NCT02327078,,
NCT02658890,,
NCT03098550,,
NCT03044626,,
NCT04122625,,
NCT03735628,,
NCT02684253,,
NCT03226756,,
NCT04159025,,
NCT03636477,,
NCT02973113,,
NCT02526017,,
NCT05041062,,
NCT00730639,,
NCT02582125,,
NCT02175017,,
NCT03953235,,
NCT02983045,,
NCT02946671,,
NCT03758781,,
NCT03829436,,
NCT03241173,,
NCT03434418,,
NCT02769286,,
NCT02228369,,
NCT03455829,,
NCT03853551,,
NCT04479306,,
NCT02163733,,
NCT03810066,,
NCT02317016,,
NCT03858491,,
NCT02474355,,
NCT03450330,,
NCT04546282,,
NCT02841579,,
NCT02197247,,
NCT03457220,,
NCT02908750,,
NCT02777567,,
NCT03137264,,
NCT04959981,,
NCT03463525,,
NCT03485326,,
NCT03219970,,
NCT03133234,,
NCT02997501,,
NCT03446417,,
NCT02224053,,
NCT02491944,,
NCT02529995,,
NCT02756039,,
